CustomerID,Gender,Age,Annual_Income,Spending_Score,Membership_Tier,Weekly_Income,Region,Last_Visit_Weeks
1,Male,19,15,39,0.0,3.75,South,1.0
2,Male,21,15,81,4.0,3.75,West,2.0
3,Female,20,16,6,0.0,4.0,East,1.0
4,Female,23,16,77,4.0,4.0,West,1.0
5,Female,31,17,40,0.0,4.25,South,3.0
6,Female,22,17,76,4.0,4.25,South,1.0
7,Female,35,18,6,0.0,4.5,East,4.0
8,Female,23,18,94,4.0,4.5,North,6.0
9,Male,64,19,3,0.0,4.75,South,9.0
10,Female,30,19,72,4.0,4.75,West,6.0
11,Male,67,19,14,0.0,4.75,East,4.0
12,Female,35,19,99,4.0,4.75,South,0.0
13,Female,58,20,15,0.0,5.0,South,5.0
14,Female,24,20,77,4.0,5.0,East,8.0
15,Male,37,20,13,0.0,5.0,West,2.0
16,Male,22,20,79,4.0,5.0,,9.0
17,Female,35,21,35,0.0,5.25,,5.0
18,Male,20,21,66,4.0,5.25,North,8.0
19,Male,52,23,29,0.0,5.75,North,9.0
20,Female,35,23,98,4.0,5.75,North,0.0
21,Male,35,24,35,0.0,6.0,West,1.0
22,Male,25,24,73,4.0,6.0,West,8.0
23,Female,46,25,5,0.0,6.25,,9.0
24,Male,31,25,73,4.0,6.25,East,3.0
25,Female,54,28,14,0.0,7.0,West,1.0
26,Male,29,28,82,4.0,7.0,East,9.0
27,Female,45,28,32,0.0,7.0,South,1.0
28,Male,35,28,61,4.0,7.0,East,0.0
29,Female,40,29,31,0.0,7.25,East,3.0
30,Female,23,29,87,4.0,7.25,,4.0
31,Male,60,30,4,0.0,7.5,South,3.0
32,Female,21,30,73,4.0,7.5,East,1.0
33,Male,53,33,4,0.0,8.25,East,9.0
34,Male,18,33,92,4.0,8.25,East,4.0
35,Female,49,33,14,0.0,8.25,South,
36,Female,21,33,81,4.0,8.25,South,
37,Female,42,34,17,0.0,8.5,East,2.0
38,Female,30,34,73,4.0,8.5,North,1.0
39,Female,36,37,26,0.0,9.25,South,2.0
40,Female,20,37,75,4.0,9.25,,0.0
41,Female,65,38,35,0.0,9.5,East,4.0
42,Male,24,38,92,4.0,9.5,West,7.0
43,Male,48,39,36,0.0,9.75,,6.0
44,Female,31,39,61,4.0,9.75,West,4.0
45,Female,49,39,28,0.0,9.75,West,6.0
46,Female,24,39,65,4.0,9.75,North,9.0
47,Female,50,40,55,3.0,10.0,South,1.0
48,Female,27,40,47,3.0,10.0,,3.0
49,Female,29,40,42,3.0,10.0,North,9.0
50,Female,31,40,42,3.0,10.0,East,5.0
51,Female,49,42,52,3.0,10.5,South,0.0
52,Male,33,42,60,3.0,10.5,West,1.0
53,Female,31,43,54,3.0,10.75,East,0.0
54,Male,59,43,60,3.0,10.75,West,9.0
55,Female,50,43,45,3.0,10.75,,5.0
56,Male,47,43,41,3.0,10.75,South,6.0
57,Female,51,44,50,3.0,11.0,,8.0
58,Male,69,44,46,3.0,11.0,,8.0
59,Female,27,46,51,3.0,11.5,North,4.0
60,Male,53,46,46,3.0,11.5,West,0.0
61,Male,70,46,56,3.0,11.5,East,3.0
62,Male,19,46,55,3.0,11.5,South,0.0
63,Female,67,47,52,3.0,11.75,West,1.0
64,Female,54,47,59,3.0,11.75,South,4.0
65,Male,63,48,51,3.0,12.0,South,1.0
66,Male,18,48,59,3.0,12.0,North,8.0
67,Female,43,48,50,3.0,12.0,West,
68,Female,68,48,48,3.0,12.0,West,2.0
69,Male,19,48,59,3.0,12.0,North,3.0
70,Female,32,48,47,3.0,12.0,,2.0
71,Male,70,49,55,3.0,12.25,North,5.0
72,Female,47,49,42,3.0,12.25,,4.0
73,Female,60,50,49,3.0,12.5,South,5.0
74,Female,60,50,56,3.0,12.5,South,0.0
75,Male,59,54,47,3.0,13.5,,7.0
76,Male,26,54,54,3.0,13.5,North,9.0
77,Female,45,54,53,3.0,13.5,,6.0
78,Male,40,54,48,3.0,13.5,West,
79,Female,23,54,52,3.0,13.5,,1.0
80,Female,49,54,42,3.0,13.5,,7.0
81,Male,57,54,51,3.0,13.5,South,6.0
82,Male,38,54,55,3.0,13.5,West,4.0
83,Male,67,54,41,3.0,13.5,North,3.0
84,Female,46,54,44,3.0,13.5,North,5.0
85,Female,21,54,57,3.0,13.5,North,5.0
86,Male,48,54,46,3.0,13.5,North,5.0
87,Female,55,57,58,3.0,14.25,North,1.0
88,Female,22,57,55,3.0,14.25,East,1.0
89,Female,34,58,60,3.0,14.5,,1.0
90,Female,50,58,46,3.0,14.5,East,5.0
91,Female,68,59,55,3.0,14.75,East,0.0
92,Male,18,59,41,3.0,14.75,East,
93,Male,48,60,49,3.0,15.0,East,4.0
94,Female,40,60,40,3.0,15.0,East,4.0
95,Female,32,60,42,3.0,15.0,North,2.0
96,Male,24,60,52,3.0,15.0,West,0.0
97,Female,47,60,47,3.0,15.0,East,9.0
98,Female,27,60,50,3.0,15.0,East,2.0
99,Male,48,61,42,3.0,15.25,West,6.0
100,Male,20,61,49,3.0,15.25,South,3.0
101,Female,23,62,41,3.0,15.5,,6.0
